mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11.945462560653686,0.4180625404770809,0.03827323913574219,0.0027410170874106014,,,2,100,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8822380513155949,0.8368371797074249,0.8427922576403831,0.8687499918683407,0.870231975120589,0.8601698911304665,0.017368160092073294,45
23.56997995376587,0.8342147435782633,0.08491015434265137,0.028962410701261567,,,2,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8890160363622311,0.8502777550884834,0.8583924851796022,0.8741186554520993,0.8813811112141949,0.8706372086593224,0.014351124167888038,23
33.6265615940094,0.4622154933606589,0.09871025085449218,0.00883378897991044,,,2,300,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8873530409254368,0.8608056797541176,0.8586031656442268,0.8759548636465423,0.8899828798196522,0.8745399259579951,0.013017470075954413,9
11.719865226745606,0.473412327853698,0.0361818790435791,0.0028286239517692872,,,5,100,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8782465824280451,0.831681892267841,0.8551704193104944,0.8796236122968796,0.8708095893539842,0.8631064191314488,0.01795473212247351,40
22.71820697784424,1.3819058488271865,0.06828842163085938,0.001959746942455208,,,5,200,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8816696582550242,0.8500541878565923,0.8724999655507674,0.8865893323559227,0.8881864685650617,0.8757999225166737,0.01398588041197508,6
33.84178423881531,1.4110055071282395,0.09260749816894531,0.004496876490549594,,,5,300,"{'clf__class_weight': None, 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.88536847971975,0.8485267404190199,0.872556241358477,0.8830482052733362,0.8880822380431104,0.8755163809627386,0.01448375721063983,7
10.34595012664795,0.2811898820381592,0.03894462585449219,0.007852753277827806,,10,2,100,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8663153226007672,0.8417586456429813,0.8569464905266981,0.8812295649918941,0.8651077940731374,0.8622715635670956,0.012906883537674626,43
20.969425201416016,0.9522445118453305,0.06350646018981934,0.005229834259059236,,10,2,200,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8766065113047872,0.8473015731937029,0.8569354553492485,0.8794421825314274,0.893522721812309,0.8707616888382951,0.016547624004773238,22
31.404463243484496,0.788816539766823,0.09419565200805664,0.007391883654999608,,10,2,300,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8886356656243021,0.8455492014564857,0.8570188711055308,0.8847268927862659,0.8881057321959811,0.8728072726337132,0.017994078477887795,13
10.367042398452758,0.4470247487856463,0.03529543876647949,0.0020292066453192455,,10,5,100,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8701805567163269,0.8348194846799882,0.8509482136544843,0.867041097618643,0.8558158392760937,0.8557610383891072,0.012624398614002866,54
20.433374691009522,0.5286752725641132,0.07366442680358887,0.021105442154622997,,10,5,200,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8804677606157473,0.8485194880744619,0.8549287984936699,0.8790684662371598,0.8793078311334441,0.8684584689108966,0.01382113403122943,26
30.67764811515808,0.8608567515807767,0.08726730346679687,0.004186191010624055,,10,5,300,"{'clf__class_weight': None, 'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.8788000443172855,0.8589307656158819,0.8582687198026598,0.8758946417904646,0.8827988097595941,0.8709385962571771,0.010312547535264756,21
11.60364818572998,0.6351842511838705,0.03771228790283203,0.002808231750216236,,20,2,100,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8856951563857782,0.8386454981143953,0.8514619083841461,0.8705165345702192,0.8774602359512166,0.8647558666811511,0.017271484130247556,37
23.23050193786621,0.5736691960983865,0.06723737716674805,0.004551066942159032,,20,2,200,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.887436237708139,0.853819393006595,0.8583522124455497,0.8759321149274503,0.8849116815556042,0.8720903279286677,0.013690918618447368,14
35.07431020736694,0.9145819970628216,0.10390496253967285,0.01417989807754523,,20,2,300,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8838425532869371,0.8625652955237136,0.858299913676948,0.8742874396135266,0.8917854351151693,0.874156127443259,0.012573014571630072,10
11.765595483779908,0.8806684620321165,0.03733820915222168,0.0016765928604151295,,20,5,100,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8871668673014842,0.8402436831584085,0.8586238820806024,0.8814044590611347,0.8691749105979324,0.8673227604399125,0.016759834035741546,29
23.815875339508057,1.139797268087691,0.06590147018432617,0.005051072506580504,,20,5,200,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.888720315286108,0.8484130367122694,0.8724900962082627,0.8865776382626027,0.8899174191040219,0.877223701114653,0.01570515936044773,5
34.44293475151062,0.8186311423328645,0.10520796775817871,0.01326781342804346,,20,5,300,"{'clf__class_weight': None, 'clf__max_depth': 20, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.8854154809806665,0.8398712076789384,0.8742012098308599,0.8779820435287687,0.8914580483207665,0.873785598068,0.01797519645290779,11
11.377562665939331,0.2418899085364584,0.03831944465637207,0.0039437505050014055,balanced,,2,100,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.8903725466410455,0.8365173563640212,0.8567476071806333,0.8687530952407956,0.8677117759930852,0.8640204762839161,0.017548625120861337,39
23.246968221664428,0.36941565059317655,0.07073655128479003,0.01203821935526964,balanced,,2,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8973230638967175,0.8488401819026183,0.8633654516545931,0.8810522025811635,0.8867385963557775,0.8754638992781739,0.01727058636880925,8
35.55768055915833,1.1068505805082438,0.104240083694458,0.00607837661032168,balanced,,2,300,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 300}",0.8919568860572554,0.8504071518532433,0.8725118726767757,0.8844640918912688,0.8937200577200578,0.8786120120397202,0.015958141394272766,3
11.857178020477296,0.2438629779315526,0.0476168155670166,0.0179852946194942,balanced,,5,100,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}",0.8771323368706995,0.8484030942776818,0.8391372674104094,0.8794446518650813,0.8566546350194941,0.8601543970886733,0.01582672145954607,46
23.02063684463501,0.41312799858139726,0.06725153923034669,0.004447168563255115,balanced,,5,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8853892050210699,0.8485236523652365,0.8465242392403945,0.8898587990079538,0.8848351637461115,0.8710262118761533,0.019278801360512136,19
35.20821995735169,1.1001048934223574,0.09514894485473632,0.010391666085315953,balanced,,5,300,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 300}",0.8786705972120158,0.8488236355728113,0.8601677396564797,0.8846317765194027,0.8847231500007576,0.8714033797922933,0.014431241565993885,18
10.691730976104736,0.39979423681572274,0.038505268096923825,0.0018353116660805835,balanced,10,2,100,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",0.878868070992555,0.8297513576296772,0.850067094829244,0.8604848141860026,0.8607184787649903,0.8559779632804938,0.016059355111737374,53
20.722491121292116,0.4052401190759727,0.0624173641204834,0.005459772573480846,balanced,10,2,200,"{'clf__class_weight': 'balanced', 'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.8807381999413662,0.8438127221042798,0.8656120317586579,0.8694174417791455,0.8761481506609144,0.8671457092488728,0.012788596318795843,30
