mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__gamma,param_clf__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
289.5201094150543,6.168797429328946,13.676941871643066,1.2767533765641248,0.1,,scale,rbf,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7583367549855485,0.7387403937209033,0.742240564204773,0.7873128624647676,0.7793004211699835,0.7611861993091952,0.01939895962281215,21
106.42548475265502,3.129853341705345,4.889283037185669,0.34788055547820995,0.1,,scale,linear,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
288.86263074874876,3.0059112094094207,13.41860671043396,0.766359822367525,0.1,,auto,rbf,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.7583367549855485,0.7387403937209033,0.742240564204773,0.7873128624647676,0.7793004211699835,0.7611861993091952,0.01939895962281215,21
104.86995787620545,3.3199424486181144,4.523894023895264,0.3258111174853578,0.1,,auto,linear,"{'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
287.62507634162904,4.349699439671435,13.555165863037109,0.6753880288413122,0.1,balanced,scale,rbf,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.7610744969471002,0.7370146280352158,0.7276333932101343,0.7827367953707727,0.777978792257707,0.7572876211641859,0.021819683513616385,23
106.14822282791138,1.9209622123377454,5.0088001728057865,0.29771383442779314,0.1,balanced,scale,linear,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
291.51007590293887,4.030919069716152,13.750665473937989,0.8182768720253517,0.1,balanced,auto,rbf,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.7610744969471002,0.7370146280352158,0.7276333932101343,0.7827367953707727,0.777978792257707,0.7572876211641859,0.021819683513616385,23
98.95855813026428,3.473447712531413,4.828259897232056,0.5653726668883136,0.1,balanced,auto,linear,"{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
183.34774589538574,9.63139153483347,9.265647840499877,1.1210527108491697,1.0,,scale,rbf,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9216493338365087,0.8814959349593496,0.9070447355401535,0.9090167109252273,0.9200466581473447,0.9078506746817168,0.01439254314858074,19
102.43525767326355,3.666984007516706,4.756980037689209,0.5579276565714884,1.0,,scale,linear,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
191.8363224029541,6.632501040066115,9.93323836326599,0.6410265595148467,1.0,,auto,rbf,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.9216493338365087,0.8814959349593496,0.9070447355401535,0.9090167109252273,0.9200466581473447,0.9078506746817168,0.01439254314858074,19
102.20142574310303,3.3004631403644216,4.6794227123260494,0.17157857053828543,1.0,,auto,linear,"{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
193.42815775871276,1.0197655154125282,10.07406210899353,0.5632133983080189,1.0,balanced,scale,rbf,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9252200979497817,0.8797420666211079,0.9106525018492061,0.9108039203748776,0.9234809804079326,0.9099799134405812,0.016309511188288252,17
101.98203439712525,0.4058873664066634,4.4196995258331295,0.4269342969339482,1.0,balanced,scale,linear,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
192.64905939102172,3.2663564269803356,9.741362953186036,0.8056920259589253,1.0,balanced,auto,rbf,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'auto', 'clf__kernel': 'rbf'}",0.9252200979497817,0.8797420666211079,0.9106525018492061,0.9108039203748776,0.9234809804079326,0.9099799134405812,0.016309511188288252,17
101.04501576423645,2.741580072657735,4.622812128067016,0.29035981223775076,1.0,balanced,auto,linear,"{'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'auto', 'clf__kernel': 'linear'}",0.9272749247368536,0.8908164118555466,0.9075063419583967,0.921270536354324,0.9509531362108682,0.9195642702231979,0.020097061675263577,5
197.24068903923035,8.960878724826438,7.215285921096802,1.5368832179180745,10.0,,scale,rbf,"{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}",0.9216138536029171,0.9094116302719448,0.9124749851229353,0.9297949362465491,0.9390742338496366,0.9224739278187964,0.01095910146509461,1
